,isbn,original_publication_year,original_title,authors,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
0,439023483,2008.0,The Hunger Games,Suzanne Collins,66715,127936,560092,1481305,2706317
1,439554934,1997.0,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",75504,101676,455024,1156318,3011543
2,316015849,2005.0,Twilight,Stephenie Meyer,456191,436802,793319,875073,1355439
3,61120081,1960.0,To Kill a Mockingbird,Harper Lee,60427,117415,446835,1001952,1714267
4,743273567,1925.0,The Great Gatsby,F. Scott Fitzgerald,86236,197621,606158,936012,947718
5,525478817,2012.0,The Fault in Our Stars,John Green,47994,92723,327550,698471,1311871
6,618260307,1937.0,The Hobbit or There and Back Again,J.R.R. Tolkien,46023,76784,288649,665635,1119718
7,316769177,1951.0,The Catcher in the Rye,J.D. Salinger,109383,185520,455042,661516,709176
8,1416524797,2000.0,Angels & Demons ,Dan Brown,77841,145740,458429,716569,680175
9,679783261,1813.0,Pride and Prejudice,Jane Austen,54700,86485,284852,609755,1155673
10,1594480001,2003.0,The Kite Runner ,Khaled Hosseini,34288,59980,226062,628174,929591
11,62024035,2011.0,Divergent,Veronica Roth,36315,82870,310297,673028,1114304
12,451524934,1949.0,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",41845,86425,324874,692021,908229
13,452284244,1945.0,Animal Farm: A Fairy Story,George Orwell,66854,135147,433432,698642,648912
14,553296981,1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",45225,91270,355756,656870,875372
15,307269752,2005.0,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",54835,86051,285413,667485,836050
16,439023491,2009.0,Catching Fire,Suzanne Collins,10492,48030,262010,687238,980309
17,043965548X,1999.0,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",6716,20413,166129,509447,1266670
18,618346252,1954.0, The Fellowship of the Ring,J.R.R. Tolkien,38031,55862,202332,493922,1042394
19,439023513,2010.0,Mockingjay,Suzanne Collins,30144,110498,373060,618271,738775
20,439358078,2003.0,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",9528,31577,180210,494427,1124806
21,316166685,2002.0,The Lovely Bones,Alice Sebold,62777,131188,404699,583575,479323
22,439064864,1998.0,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",8253,42251,242345,548266,1065084
23,439139600,2000.0,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",6676,20210,151785,494926,1195045
